Header	RF	SVM
>Sequence1801	0.5	0.713
>Sequence1802	0.4	0.645
>Sequence1803	0.45	0.802
>Sequence1804	0.45	0.682
>Sequence1805	0.5	0.262
>Sequence1806	0.6	0.231
>Sequence1807	0.5	0.755
>Sequence1808	0.35	0.187
>Sequence1809	0.55	0.202
>Sequence1810	0.5	0.529
>Sequence1811	0.35	0.48
>Sequence1812	0.45	0.396
>Sequence1813	0.45	0.277
>Sequence1814	0.5	0.578
>Sequence1815	0.25	0.274
>Sequence1816	0.4	0.27
>Sequence1817	0.6	0.172
>Sequence1818	0.5	0.18
>Sequence1819	0.4	0.087
>Sequence1820	0.5	0.783
>Sequence1821	0.45	0.373
>Sequence1822	0.35	0.159
>Sequence1823	0.4	0.435
>Sequence1824	0.45	0.24
>Sequence1825	0.35	0.146
>Sequence1826	0.5	0.745
>Sequence1827	0.4	0.215
>Sequence1828	0.45	0.314
>Sequence1829	0.55	0.445
>Sequence1830	0.45	0.317
>Sequence1831	0.4	0.322
>Sequence1832	0.55	0.29
>Sequence1833	0.65	0.283
>Sequence1834	0.3	0.596
>Sequence1835	0.55	0.777
>Sequence1836	0.5	0.288
>Sequence1837	0.4	0.21
>Sequence1838	0.5	0.776
>Sequence1839	0.4	0.218
>Sequence1840	0.3	0.103
>Sequence1841	0.45	0.753
>Sequence1842	0.35	0.31
>Sequence1843	0.5	0.38
>Sequence1844	0.4	0.376
>Sequence1845	0.5	0.821
>Sequence1846	0.35	0.26
>Sequence1847	0.35	0.722
>Sequence1848	0.5	0.135
>Sequence1849	0.4	0.278
>Sequence1850	0.5	0.332
>Sequence1851	0.35	0.485
>Sequence1852	0.55	0.663
>Sequence1853	0.45	0.134
>Sequence1854	0.55	0.189
>Sequence1855	0.55	0.624
>Sequence1856	0.4	0.378
>Sequence1857	0.35	0.197
>Sequence1858	0.5	0.302
>Sequence1859	0.4	0.465
>Sequence1860	0.25	0.696
>Sequence1861	0.3	0.442
>Sequence1862	0.4	0.815
>Sequence1863	0.5	0.734
>Sequence1864	0.55	0.749
>Sequence1865	0.55	0.707
>Sequence1866	0.45	0.808
>Sequence1867	0.35	0.127
>Sequence1868	0.4	0.629
>Sequence1869	0.4	0.298
>Sequence1870	0.45	0.248
>Sequence1871	0.45	0.275
>Sequence1872	0.5	0.555
>Sequence1873	0.35	0.216
>Sequence1874	0.5	0.311
>Sequence1875	0.35	0.296
>Sequence1876	0.4	0.723
>Sequence1877	0.45	0.73
>Sequence1878	0.5	0.568
>Sequence1879	0.4	0.8
>Sequence1880	0.4	0.213
>Sequence1881	0.35	0.718
>Sequence1882	0.5	0.296
>Sequence1883	0.4	0.678
>Sequence1884	0.45	0.796
>Sequence1885	0.3	0.156
>Sequence1886	0.4	0.352
>Sequence1887	0.65	0.745
>Sequence1888	0.5	0.195
>Sequence1889	0.45	0.808
>Sequence1890	0.4	0.412
>Sequence1891	0.35	0.783
>Sequence1892	0.45	0.661
>Sequence1893	0.45	0.451
>Sequence1894	0.5	0.249
>Sequence1895	0.5	0.606
>Sequence1896	0.4	0.254
>Sequence1897	0.45	0.668
>Sequence1898	0.4	0.334
>Sequence1899	0.45	0.177
>Sequence1900	0.45	0.733
