Header	RF	SVM
>Sequence16101	0.55	0.287
>Sequence16102	0.4	0.455
>Sequence16103	0.55	0.782
>Sequence16104	0.55	0.775
>Sequence16105	0.45	0.806
>Sequence16106	0.45	0.55
>Sequence16107	0.5	0.733
>Sequence16108	0.65	0.867
>Sequence16109	0.55	0.631
>Sequence16110	0.45	0.717
>Sequence16111	0.4	0.495
>Sequence16112	0.45	0.747
>Sequence16113	0.35	0.415
>Sequence16114	0.45	0.778
>Sequence16115	0.35	0.114
>Sequence16116	0.5	0.737
>Sequence16117	0.25	0.211
>Sequence16118	0.45	0.428
>Sequence16119	0.45	0.84
>Sequence16120	0.25	0.454
>Sequence16121	0.6	0.235
>Sequence16122	0.45	0.796
>Sequence16123	0.4	0.361
>Sequence16124	0.45	0.334
>Sequence16125	0.5	0.703
>Sequence16126	0.4	0.38
>Sequence16127	0.4	0.753
>Sequence16128	0.45	0.636
>Sequence16129	0.5	0.409
>Sequence16130	0.45	0.709
>Sequence16131	0.45	0.574
>Sequence16132	0.45	0.73
>Sequence16133	0.45	0.285
>Sequence16134	0.45	0.436
>Sequence16135	0.4	0.767
>Sequence16136	0.55	0.2
>Sequence16137	0.55	0.765
>Sequence16138	0.45	0.236
>Sequence16139	0.3	0.475
>Sequence16140	0.3	0.517
>Sequence16141	0.35	0.513
>Sequence16142	0.5	0.635
>Sequence16143	0.4	0.345
>Sequence16144	0.4	0.325
>Sequence16145	0.45	0.423
>Sequence16146	0.4	0.757
>Sequence16147	0.5	0.858
>Sequence16148	0.5	0.25
>Sequence16149	0.45	0.392
>Sequence16150	0.45	0.872
>Sequence16151	0.45	0.629
>Sequence16152	0.45	0.063
>Sequence16153	0.4	0.676
>Sequence16154	0.55	0.22
>Sequence16155	0.5	0.754
>Sequence16156	0.5	0.134
>Sequence16157	0.45	0.758
>Sequence16158	0.4	0.551
>Sequence16159	0.5	0.452
>Sequence16160	0.5	0.151
>Sequence16161	0.4	0.722
>Sequence16162	0.45	0.721
>Sequence16163	0.45	0.609
>Sequence16164	0.55	0.533
>Sequence16165	0.45	0.673
>Sequence16166	0.45	0.586
>Sequence16167	0.25	0.163
>Sequence16168	0.4	0.682
>Sequence16169	0.4	0.289
>Sequence16170	0.45	0.582
>Sequence16171	0.4	0.536
>Sequence16172	0.5	0.358
>Sequence16173	0.45	0.681
>Sequence16174	0.5	0.72
>Sequence16175	0.4	0.803
>Sequence16176	0.5	0.645
>Sequence16177	0.5	0.473
>Sequence16178	0.45	0.742
>Sequence16179	0.4	0.26
>Sequence16180	0.4	0.168
>Sequence16181	0.35	0.736
>Sequence16182	0.5	0.748
>Sequence16183	0.45	0.247
>Sequence16184	0.45	0.749
>Sequence16185	0.5	0.307
>Sequence16186	0.45	0.664
>Sequence16187	0.4	0.777
>Sequence16188	0.4	0.465
>Sequence16189	0.5	0.846
>Sequence16190	0.4	0.74
>Sequence16191	0.3	0.093
>Sequence16192	0.6	0.246
>Sequence16193	0.35	0.72
>Sequence16194	0.45	0.779
>Sequence16195	0.45	0.657
>Sequence16196	0.4	0.611
>Sequence16197	0.45	0.694
>Sequence16198	0.45	0.557
>Sequence16199	0.5	0.374
>Sequence16200	0.45	0.229
