Header	RF	SVM
>Sequence23201	0.45	0.292
>Sequence23202	0.4	0.231
>Sequence23203	0.35	0.425
>Sequence23204	0.35	0.354
>Sequence23205	0.4	0.27
>Sequence23206	0.45	0.804
>Sequence23207	0.45	0.333
>Sequence23208	0.45	0.762
>Sequence23209	0.4	0.314
>Sequence23210	0.35	0.589
>Sequence23211	0.5	0.732
>Sequence23212	0.4	0.209
>Sequence23213	0.4	0.249
>Sequence23214	0.4	0.775
>Sequence23215	0.4	0.71
>Sequence23216	0.5	0.783
>Sequence23217	0.45	0.222
>Sequence23218	0.5	0.281
>Sequence23219	0.45	0.663
>Sequence23220	0.5	0.809
>Sequence23221	0.45	0.752
>Sequence23222	0.3	0.168
>Sequence23223	0.4	0.804
>Sequence23224	0.4	0.308
>Sequence23225	0.4	0.208
>Sequence23226	0.45	0.456
>Sequence23227	0.45	0.716
>Sequence23228	0.45	0.813
>Sequence23229	0.5	0.621
>Sequence23230	0.5	0.211
>Sequence23231	0.55	0.792
>Sequence23232	0.5	0.741
>Sequence23233	0.5	0.657
>Sequence23234	0.45	0.411
>Sequence23235	0.35	0.435
>Sequence23236	0.4	0.551
>Sequence23237	0.5	0.671
>Sequence23238	0.4	0.317
>Sequence23239	0.4	0.761
>Sequence23240	0.5	0.853
>Sequence23241	0.45	0.182
>Sequence23242	0.45	0.428
>Sequence23243	0.4	0.735
>Sequence23244	0.55	0.729
>Sequence23245	0.4	0.708
>Sequence23246	0.5	0.178
>Sequence23247	0.35	0.321
>Sequence23248	0.5	0.731
>Sequence23249	0.45	0.635
>Sequence23250	0.5	0.253
>Sequence23251	0.45	0.361
>Sequence23252	0.4	0.727
>Sequence23253	0.45	0.326
>Sequence23254	0.35	0.189
>Sequence23255	0.45	0.506
>Sequence23256	0.5	0.783
>Sequence23257	0.4	0.482
>Sequence23258	0.35	0.802
>Sequence23259	0.45	0.578
>Sequence23260	0.55	0.769
>Sequence23261	0.5	0.277
>Sequence23262	0.5	0.365
>Sequence23263	0.4	0.683
>Sequence23264	0.45	0.518
>Sequence23265	0.45	0.561
>Sequence23266	0.5	0.777
>Sequence23267	0.5	0.175
>Sequence23268	0.35	0.436
>Sequence23269	0.4	0.771
>Sequence23270	0.55	0.793
>Sequence23271	0.3	0.722
>Sequence23272	0.45	0.406
>Sequence23273	0.45	0.551
>Sequence23274	0.45	0.665
>Sequence23275	0.4	0.689
>Sequence23276	0.45	0.65
>Sequence23277	0.4	0.823
>Sequence23278	0.5	0.319
>Sequence23279	0.5	0.833
>Sequence23280	0.5	0.544
>Sequence23281	0.5	0.833
>Sequence23282	0.4	0.665
>Sequence23283	0.3	0.576
>Sequence23284	0.35	0.725
>Sequence23285	0.55	0.836
>Sequence23286	0.5	0.558
>Sequence23287	0.2	0.464
>Sequence23288	0.45	0.303
>Sequence23289	0.5	0.183
>Sequence23290	0.4	0.657
>Sequence23291	0.45	0.425
>Sequence23292	0.55	0.423
>Sequence23293	0.35	0.31
>Sequence23294	0.45	0.208
>Sequence23295	0.35	0.404
>Sequence23296	0.5	0.428
>Sequence23297	0.5	0.25
>Sequence23298	0.45	0.774
>Sequence23299	0.45	0.725
>Sequence23300	0.5	0.808
