Header	RF	SVM
>Sequence23401	0.3	0.285
>Sequence23402	0.4	0.057
>Sequence23403	0.5	0.402
>Sequence23404	0.5	0.651
>Sequence23405	0.45	0.803
>Sequence23406	0.5	0.299
>Sequence23407	0.6	0.253
>Sequence23408	0.5	0.791
>Sequence23409	0.4	0.524
>Sequence23410	0.45	0.765
>Sequence23411	0.4	0.748
>Sequence23412	0.35	0.249
>Sequence23413	0.4	0.785
>Sequence23414	0.4	0.725
>Sequence23415	0.45	0.695
>Sequence23416	0.4	0.583
>Sequence23417	0.4	0.342
>Sequence23418	0.3	0.649
>Sequence23419	0.55	0.781
>Sequence23420	0.5	0.75
>Sequence23421	0.4	0.608
>Sequence23422	0.3	0.463
>Sequence23423	0.4	0.725
>Sequence23424	0.4	0.134
>Sequence23425	0.4	0.667
>Sequence23426	0.5	0.605
>Sequence23427	0.5	0.753
>Sequence23428	0.4	0.557
>Sequence23429	0.55	0.716
>Sequence23430	0.4	0.77
>Sequence23431	0.45	0.749
>Sequence23432	0.45	0.763
>Sequence23433	0.55	0.379
>Sequence23434	0.4	0.383
>Sequence23435	0.5	0.59
>Sequence23436	0.5	0.73
>Sequence23437	0.55	0.23
>Sequence23438	0.3	0.218
>Sequence23439	0.35	0.232
>Sequence23440	0.45	0.309
>Sequence23441	0.25	0.406
>Sequence23442	0.6	0.369
>Sequence23443	0.5	0.718
>Sequence23444	0.45	0.725
>Sequence23445	0.3	0.696
>Sequence23446	0.55	0.844
>Sequence23447	0.35	0.276
>Sequence23448	0.5	0.759
>Sequence23449	0.35	0.377
>Sequence23450	0.3	0.483
>Sequence23451	0.2	0.624
>Sequence23452	0.4	0.322
>Sequence23453	0.3	0.759
>Sequence23454	0.35	0.551
>Sequence23455	0.35	0.786
>Sequence23456	0.55	0.341
>Sequence23457	0.45	0.387
>Sequence23458	0.5	0.284
>Sequence23459	0.45	0.795
>Sequence23460	0.5	0.796
>Sequence23461	0.45	0.345
>Sequence23462	0.45	0.637
>Sequence23463	0.45	0.155
>Sequence23464	0.55	0.265
>Sequence23465	0.4	0.42
>Sequence23466	0.45	0.361
>Sequence23467	0.5	0.086
>Sequence23468	0.35	0.264
>Sequence23469	0.45	0.224
>Sequence23470	0.4	0.668
>Sequence23471	0.45	0.374
>Sequence23472	0.45	0.79
>Sequence23473	0.4	0.668
>Sequence23474	0.35	0.773
>Sequence23475	0.5	0.293
>Sequence23476	0.5	0.63
>Sequence23477	0.55	0.824
>Sequence23478	0.3	0.358
>Sequence23479	0.35	0.065
>Sequence23480	0.35	0.485
>Sequence23481	0.4	0.311
>Sequence23482	0.45	0.797
>Sequence23483	0.45	0.802
>Sequence23484	0.25	0.23
>Sequence23485	0.45	0.766
>Sequence23486	0.4	0.658
>Sequence23487	0.35	0.651
>Sequence23488	0.4	0.244
>Sequence23489	0.45	0.649
>Sequence23490	0.4	0.454
>Sequence23491	0.35	0.212
>Sequence23492	0.4	0.232
>Sequence23493	0.45	0.627
>Sequence23494	0.6	0.404
>Sequence23495	0.5	0.804
>Sequence23496	0.55	0.225
>Sequence23497	0.4	0.245
>Sequence23498	0.6	0.745
>Sequence23499	0.5	0.75
>Sequence23500	0.25	0.342
