Header	RF	SVM
>Sequence14501	0.5	0.582
>Sequence14502	0.35	0.723
>Sequence14503	0.5	0.31
>Sequence14504	0.4	0.673
>Sequence14505	0.4	0.247
>Sequence14506	0.4	0.792
>Sequence14507	0.45	0.144
>Sequence14508	0.5	0.518
>Sequence14509	0.45	0.316
>Sequence14510	0.4	0.662
>Sequence14511	0.65	0.304
>Sequence14512	0.4	0.746
>Sequence14513	0.4	0.748
>Sequence14514	0.6	0.344
>Sequence14515	0.55	0.827
>Sequence14516	0.55	0.348
>Sequence14517	0.45	0.719
>Sequence14518	0.5	0.598
>Sequence14519	0.5	0.281
>Sequence14520	0.4	0.181
>Sequence14521	0.5	0.391
>Sequence14522	0.55	0.187
>Sequence14523	0.5	0.152
>Sequence14524	0.45	0.743
>Sequence14525	0.4	0.292
>Sequence14526	0.35	0.198
>Sequence14527	0.45	0.803
>Sequence14528	0.45	0.35
>Sequence14529	0.5	0.526
>Sequence14530	0.45	0.803
>Sequence14531	0.45	0.674
>Sequence14532	0.45	0.51
>Sequence14533	0.45	0.606
>Sequence14534	0.45	0.758
>Sequence14535	0.45	0.415
>Sequence14536	0.6	0.755
>Sequence14537	0.35	0.862
>Sequence14538	0.45	0.679
>Sequence14539	0.4	0.715
>Sequence14540	0.5	0.22
>Sequence14541	0.45	0.683
>Sequence14542	0.45	0.377
>Sequence14543	0.3	0.134
>Sequence14544	0.4	0.715
>Sequence14545	0.4	0.55
>Sequence14546	0.55	0.625
>Sequence14547	0.35	0.651
>Sequence14548	0.4	0.752
>Sequence14549	0.4	0.53
>Sequence14550	0.4	0.787
>Sequence14551	0.4	0.852
>Sequence14552	0.45	0.677
>Sequence14553	0.45	0.827
>Sequence14554	0.45	0.614
>Sequence14555	0.45	0.388
>Sequence14556	0.5	0.223
>Sequence14557	0.55	0.704
>Sequence14558	0.4	0.216
>Sequence14559	0.55	0.201
>Sequence14560	0.35	0.598
>Sequence14561	0.45	0.597
>Sequence14562	0.45	0.314
>Sequence14563	0.4	0.78
>Sequence14564	0.5	0.761
>Sequence14565	0.5	0.229
>Sequence14566	0.5	0.433
>Sequence14567	0.45	0.321
>Sequence14568	0.45	0.121
>Sequence14569	0.5	0.778
>Sequence14570	0.5	0.703
>Sequence14571	0.35	0.201
>Sequence14572	0.55	0.317
>Sequence14573	0.35	0.382
>Sequence14574	0.55	0.537
>Sequence14575	0.4	0.075
>Sequence14576	0.4	0.647
>Sequence14577	0.4	0.21
>Sequence14578	0.35	0.236
>Sequence14579	0.45	0.379
>Sequence14580	0.45	0.682
>Sequence14581	0.45	0.265
>Sequence14582	0.45	0.828
>Sequence14583	0.45	0.708
>Sequence14584	0.4	0.358
>Sequence14585	0.45	0.713
>Sequence14586	0.45	0.204
>Sequence14587	0.45	0.597
>Sequence14588	0.3	0.772
>Sequence14589	0.35	0.321
>Sequence14590	0.45	0.298
>Sequence14591	0.35	0.225
>Sequence14592	0.45	0.78
>Sequence14593	0.35	0.107
>Sequence14594	0.4	0.152
>Sequence14595	0.3	0.363
>Sequence14596	0.45	0.608
>Sequence14597	0.4	0.245
>Sequence14598	0.45	0.345
>Sequence14599	0.4	0.767
>Sequence14600	0.45	0.282
